iter	Passed	Remaining
421	2132	2920
422	2137	2915
423	2141	2909
424	2145	2903
425	2151	2898
426	2155	2892
427	2160	2886
428	2164	2881
429	2169	2876
430	2173	2870
431	2178	2863
432	2184	2860
433	2189	2854
434	2193	2848
435	2198	2844
436	2203	2838
437	2207	2832
438	2211	2826
439	2216	2821
440	2221	2815
441	2225	2809
442	2230	2804
443	2234	2798
444	2239	2793
445	2244	2787
446	2248	2782
447	2253	2776
448	2257	2770
449	2262	2765
450	2267	2760
451	2271	2754
452	2276	2748
453	2281	2743
454	2285	2738
455	2290	2732
456	2295	2727
457	2299	2721
458	2304	2715
459	2308	2710
460	2313	2704
461	2317	2698
462	2322	2693
463	2327	2688
464	2331	2682
465	2336	2677
466	2340	2671
467	2345	2666
468	2349	2660
469	2354	2654
470	2358	2648
471	2363	2643
472	2367	2637
473	2371	2631
474	2377	2627
475	2382	2622
476	2386	2616
477	2391	2611
478	2396	2606
479	2400	2600
480	2405	2595
481	2410	2590
482	2414	2584
483	2419	2579
484	2423	2573
485	2428	2568
486	2432	2562
487	2437	2557
488	2442	2552
489	2446	2546
490	2450	2540
491	2455	2535
492	2459	2529
493	2464	2524
494	2468	2518
495	2473	2513
496	2478	2508
497	2483	2503
498	2487	2497
499	2492	2492
500	2496	2486
501	2500	2480
502	2505	2475
503	2509	2470
504	2514	2464
505	2518	2458
506	2524	2454
507	2530	2450
508	2535	2445
509	2540	2441
510	2545	2435
511	2549	2430
512	2558	2428
513	2566	2427
514	2575	2425
515	2580	2420
516	2586	2416
517	2591	2411
518	2596	2406
519	2600	2400
520	2605	2395
521	2610	2390
522	2615	2385
523	2620	2380
524	2625	2375
525	2630	2370
526	2636	2366
527	2643	2363
528	2652	2361
529	2659	2358
530	2667	2356
531	2673	2352
532	2678	2347
533	2684	2342
534	2689	2337
535	2693	2332
536	2699	2327
537	2703	2321
538	2708	2316
539	2713	2311
540	2717	2305
541	2721	2299
542	2726	2294
543	2730	2289
544	2735	2283
545	2739	2277
546	2743	2272
547	2748	2266
548	2752	2261
549	2756	2255
550	2761	2250
551	2766	2244
552	2770	2239
553	2776	2234
554	2781	2230
555	2785	2224
556	2790	2219
557	2794	2213
558	2798	2208
559	2803	2202
560	2807	2196
561	2812	2192
562	2816	2186
563	2821	2181
564	2826	2175
565	2830	2170
566	2835	2165
567	2839	2159
568	2857	2164
569	2863	2159
570	2867	2154
571	2872	2149
572	2877	2144
573	2882	2138
574	2887	2133
575	2892	2128
576	2896	2123
577	2900	2118
578	2906	2113
579	2911	2108
580	2916	2102
581	2920	2097
582	2925	2092
583	2929	2086
584	2934	2081
585	2938	2076
586	2943	2070
587	2947	2065
588	2952	2059
589	2957	2054
590	2961	2049
591	2965	2044
592	2970	2038
593	2975	2033
594	2980	2028
595	2984	2023
596	2989	2018
597	2994	2013
598	2998	2007
599	3003	2002
600	3008	1997
601	3012	1991
602	3017	1986
603	3021	1981
604	3026	1975
605	3030	1970
606	3035	1965
607	3040	1960
608	3044	1954
609	3049	1949
610	3054	1944
611	3058	1939
612	3062	1933
613	3067	1928
614	3072	1923
615	3077	1918
616	3082	1913
617	3087	1908
618	3091	1903
619	3096	1897
620	3100	1892
621	3105	1887
622	3109	1881
623	3114	1876
624	3118	1871
625	3123	1865
626	3127	1860
627	3132	1855
628	3137	1850
629	3141	1844
630	3145	1839
631	3150	1834
632	3154	1829
633	3159	1824
634	3164	1818
635	3169	1813
636	3173	1808
637	3178	1803
638	3182	1798
639	3187	1793
640	3192	1787
641	3196	1782
642	3201	1777
643	3205	1772
644	3210	1766
645	3214	1761
646	3219	1756
647	3224	1751
648	3228	1746
649	3233	1741
650	3237	1735
651	3242	1730
652	3246	1725
653	3251	1720
654	3255	1714
655	3260	1709
656	3265	1704
657	3269	1699
658	3274	1694
659	3278	1689
660	3284	1684
661	3288	1678
662	3293	1673
663	3298	1668
664	3302	1663
665	3306	1658
666	3311	1653
667	3315	1648
668	3320	1642
669	3324	1637
670	3329	1632
671	3333	1627
672	3338	1622
673	3342	1616
674	3347	1611
675	3351	1606
676	3356	1601
677	3360	1596
678	3365	1590
679	3369	1585
680	3374	1580
681	3378	1575
682	3383	1570
683	3387	1565
684	3392	1559
685	3397	1555
686	3401	1549
687	3406	1544
688	3410	1539
689	3415	1534
690	3419	1529
691	3423	1523
692	3428	1518
693	3433	1513
694	3437	1508
695	3442	1503
696	3446	1498
697	3450	1493
698	3455	1487
699	3460	1482
700	3464	1477
701	3469	1472
702	3473	1467
703	3478	1462
704	3482	1457
705	3487	1452
706	3492	1447
707	3498	1442
708	3504	1438
709	3510	1433
710	3515	1428
711	3520	1423
712	3525	1419
713	3530	1414
714	3534	1408
715	3539	1404
716	3544	1399
717	3550	1394
718	3555	1389
719	3560	1384
720	3565	1379
721	3570	1374
722	3574	1369
723	3579	1364
724	3583	1359
725	3588	1354
726	3593	1349
727	3598	1344
728	3602	1339
729	3608	1334
730	3612	1329
731	3617	1324
732	3622	1319
733	3626	1314
734	3631	1309
735	3636	1304
736	3640	1299
737	3645	1294
738	3650	1289
739	3655	1284
740	3659	1279
741	3663	1273
742	3668	1268
743	3672	1263
744	3677	1258
745	3681	1253
746	3687	1248
747	3691	1243
748	3695	1238
749	3700	1233
750	3705	1228
751	3709	1223
752	3714	1218
753	3719	1213
754	3723	1208
755	3728	1203
756	3732	1198
757	3737	1193
758	3741	1188
759	3746	1183
760	3751	1178
761	3755	1172
762	3759	1167
763	3764	1162
764	3768	1157
765	3773	1152
766	3777	1147
767	3782	1142
768	3787	1137
769	3791	1132
770	3795	1127
771	3800	1122
772	3805	1117
773	3809	1112
774	3813	1107
775	3818	1102
776	3823	1097
777	3827	1092
778	3833	1087
779	3837	1082
780	3841	1077
781	3846	1072
782	3850	1067
783	3854	1062
784	3859	1056
785	3864	1052
786	3868	1046
787	3872	1041
788	3876	1036
789	3881	1031
790	3885	1026
791	3890	1021
792	3895	1016
793	3900	1011
794	3904	1006
795	3908	1001
796	3914	996
797	3918	991
798	3923	986
799	3928	982
800	3932	976
801	3936	971
802	3941	967
803	3946	962
804	3950	956
805	3956	952
806	3960	947
807	3964	942
808	3969	937
809	3973	932
810	3978	927
811	3982	922
812	3986	917
813	3991	912
814	3995	906
815	4000	901
816	4004	896
817	4008	891
818	4013	886
819	4017	881
820	4022	877
821	4027	872
822	4031	867
823	4035	862
824	4041	857
825	4045	852
826	4049	847
827	4054	842
828	4059	837
829	4063	832
830	4067	827
831	4072	822
832	4076	817
833	4080	812
834	4085	807
